cycle,s,C,O1,O2,score_best,elapsed_s
106,0.606,91.4,0.487,0.001,0.2438,32.41
107,0.687,91.3,0.434,0.067,0.2503,33.18
108,0.617,81.9,0.424,0.06,0.2419,28.27
109,0.65,113.5,0.394,0.008,0.2008,28.58
110,0.678,99.6,0.377,0.027,0.2017,33.06
111,0.555,61.7,0.253,0.018,0.1354,27.21
112,0.684,63.7,0.402,0.027,0.2144,31.33
113,0.549,108.9,0.414,0.018,0.2163,28.33
114,0.618,106.0,0.482,0.037,0.2597,30.16
115,0.601,78.7,0.443,0.016,0.2295,34.14
116,0.579,80.0,0.513,0.007,0.2602,29.62
117,0.549,70.3,0.485,0.005,0.2453,33.25
118,0.604,69.2,0.434,0.044,0.2393,28.22
119,0.605,70.0,0.445,0.003,0.2241,32.23
120,0.577,69.7,0.37,0.062,0.2159,28.07
121,0.63,110.7,0.428,0.013,0.2206,33.09
122,0.654,80.5,0.29,0.037,0.1634,28.61
123,0.611,111.2,0.548,0.025,0.2865,29.63
124,0.622,83.8,0.435,0.028,0.2316,29.2
125,0.604,61.6,0.465,0.02,0.2425,33.09
126,0.649,61.7,0.429,0.054,0.2413,29.58
127,0.534,61.4,0.353,0.004,0.1784,32.73
128,0.518,99.3,0.465,0.007,0.236,33.98
129,0.544,114.0,0.463,0.011,0.2367,30.79
130,0.577,63.4,0.426,0.106,0.2661,29.55
131,0.577,63.4,0.394,0.045,0.2194,28.3
132,0.609,91.8,0.428,0.002,0.2149,28.37
133,0.571,112.8,0.499,0.028,0.2632,33.28
134,0.437,77.1,0.355,0.008,0.1813,32.51
135,0.582,112.6,0.458,0.067,0.2623,32.61
136,0.418,92.8,0.377,0.014,0.1956,32.41
137,0.568,88.6,0.436,0.015,0.2256,31.75
138,0.561,66.4,0.484,0.038,0.2613,32.07
139,0.42,87.3,0.44,0.002,0.221,32.12
140,0.643,95.6,0.359,0.011,0.1848,31.54
141,0.602,96.0,0.4,0.044,0.2218,31.38
142,0.577,95.7,0.477,0.032,0.2545,33.0
143,0.566,97.3,0.309,0.002,0.1554,30.6
144,0.616,111.4,0.57,0.01,0.29,32.3
145,0.525,86.7,0.313,0.079,0.196,33.3
146,0.687,83.1,0.273,0.032,0.1526,32.02
147,0.589,82.9,0.323,0.025,0.1743,31.79
148,0.663,70.3,0.305,0.038,0.1715,27.52
149,0.659,83.9,0.288,0.009,0.1481,31.08
150,0.656,75.6,0.377,0.007,0.1924,30.94
151,0.603,62.0,0.372,0.015,0.1936,30.21
152,0.566,83.0,0.356,0.012,0.1841,30.03
153,0.569,91.5,0.328,0.028,0.1778,26.44
154,0.663,81.4,0.326,0.003,0.1645,29.76
155,0.614,94.5,0.365,0.051,0.2079,30.03
156,0.559,94.7,0.337,0.117,0.2268,27.14
157,0.478,108.0,0.388,0.022,0.2053,30.53
158,0.591,104.5,0.428,0.022,0.2249,31.25
159,0.5,65.6,0.337,0.055,0.1959,30.41
160,0.621,84.5,0.376,0.002,0.1891,30.1
161,0.533,87.5,0.409,0.005,0.2071,26.4
162,0.533,87.5,0.38,0.004,0.1918,26.96
163,0.629,70.7,0.39,0.013,0.2015,30.59
164,0.607,77.3,0.368,0.05,0.209,30.23
165,0.472,74.4,0.295,0.0,0.1476,30.32
166,0.595,107.6,0.266,0.008,0.1371,30.01
167,0.635,88.5,0.346,0.048,0.1968,30.35
168,0.605,91.3,0.367,0.002,0.1844,30.14
169,0.553,71.0,0.29,0.003,0.1464,31.36
170,0.606,95.5,0.312,0.032,0.1718,33.52
171,0.502,101.3,0.336,0.022,0.1788,25.96
172,0.502,101.3,0.279,0.012,0.1454,26.39
173,0.616,83.6,0.313,0.023,0.1676,33.63
174,0.543,63.8,0.227,0.004,0.1159,33.37
175,0.64,79.6,0.343,0.012,0.1774,33.13
176,0.451,89.0,0.356,0.005,0.1807,25.58
177,0.42,84.9,0.363,0.015,0.1892,33.24
178,0.509,87.7,0.308,0.025,0.1666,33.38
179,0.434,89.9,0.403,0.003,0.2032,25.99
180,0.395,115.4,0.332,0.002,0.1672,30.09
181,0.682,117.2,0.195,0.68,0.4372,29.09
182,0.682,117.2,0.206,0.163,0.1845,25.48
183,0.657,116.5,0.258,0.027,0.1425,32.11
184,0.594,116.5,0.19,0.04,0.1154,32.52
185,0.684,117.2,0.197,0.465,0.3308,32.69
186,0.668,76.5,0.105,0.23,0.1675,32.65
187,0.682,66.7,0.208,0.127,0.1674,32.06
188,0.686,76.5,0.165,0.441,0.3028,25.31
189,0.686,60.5,0.202,0.005,0.1036,28.37
190,0.686,60.5,0.132,0.307,0.2197,24.64
191,0.686,87.9,0.316,0.314,0.3146,31.54
192,0.624,96.0,0.064,0.019,0.0412,27.39
